fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Abdelillah,Baba,M,402,858-9650,BRISTOW,NE,68719,M,Y,35000,6.84,0,206,103,451
Abdullah,Yanover,M,401,244-1155,JOHNSTON,RI,2919,M,Y,25000,0,0,0,0,783
Adamantios,Leger,M,207,510-7474,JEFFERSON,ME,4348,S,N,65000,8.5,2850,0,0,1174
Adel,Rosendahl,F,307,278-5988,GUERNSEY,WY,82214,S,N,5000,0,0,0,0,1299
Adit,Vaisey,F,319,436-4301,BALDWIN,IA,52207,M,***,80000,8.98,0,80,0,1571
Adrain,Bolloju,M,612,481-5395,PARK RAPIDS,MN,56470,M,Y,90000,7.85,0,6600,3300,1750
Agatha,Campagnoni,M,970,690-8278,BOULDER,CO,80329,M,Y,70000,4.63,0,0,0,2160
Agnar,Devitt,F,262,730-2653,BURNETT,WI,53922,S,Y,75000,5.7495394,700,0,400,2297
Aharon,Dekeyser,F,203,806-6918,SALEM,CT,6420,M,N,40000,5,0,24500,0,2469
Ajit,Businaro,M,360,160-9451,TACOMA,WA,98447,M,Y,60000,0,0,0,0,3256
Akiro,Poesio,M,757,153-4752,STERLING,VA,20165,S,N,90000,5.75,900,0,0,3953
Alan,Zervos,M,360,413-6127,REDMOND,WA,98052,S,N,65000,0,0,0,0,4298
Alejandro,Kronert,F,501,189-7347,ATKINS,AR,72823,S,N,30000,7,20,0,0,4617
Alessio,Tontiwachwuthikul,M,919,631-6020,HASSELL,NC,27841,S,N,70000,7.201049,3300,0,0,4920
Alfredo,Backhouse,F,775,651-8810,LAS VEGAS,NV,89110,M,Y,45000,0,0,0,0,5254
Alfs,Jeong,M,603,209-9250,BERLIN,NH,3570,S,Y,45000,0,0,0,0,5300
Amel,Seggelke,M,802,619-2106,RICHMOND,VT,5477,S,N,20000,3.6,3300,0,0,6776
Angel,Scheifler,F,605,809-8708,HUMBOLDT,SD,57035,M,N,55000,0,0,0,0,8432
Angel,Sulzmann,F,848,498-1488,EAST ORANGE,NJ,7019,S,N,20000,1.4,1000,0,0,8433
Angotti,Cesarini,M,603,129-9320,EAST CANDIA,NH,3040,S,N,45000,0,0,0,0,8543
Anindya,Braham,F,712,987-7367,CENTER POINT,IA,52213,M,N,15000,2.479763,0,80,0,8688
Aniruddha,Simovich,M,406,910-5245,WORDEN,MT,59088,M,Y,35000,6.9,0,3800,1900,8704
Anjaneyulu,Lauchli,M,818,447-9412,PALMDALE,CA,93552,M,Y,45000,9.3,0,174,272,8867
Anneliese,Luth,M,918,755-2603,MARIETTA,OK,73448,S,N,30000,6.25,1000,0,0,9143
Annette,iNtto,F,860,269-5464,JEWETT CITY,CT,6351,M,N,70000,5,0,24500,0,9185
Anshu,Tabor,F,304,941-2311,HUNTINGTON,WV,25771,M,N,65000,6.5,0,4000,,9492
April,Flege,F,207,738-8519,DOVER FOXCROFT,ME,4426,M,Y,75000,8.5,0,5700,2850,10383
Arcot,Wotawa,M,951,513-5331,ARTESIA,CA,90701,S,Y,40000,8.951314,87,0,272,10639
Arjun,Herbster,M,336,246-3267,BISCOE,NC,27209,M,Y,45000,6.6765733,0,6600,3300,11187
Arturo,Benzaken,F,334,925-3216,BROOKLYN,AL,36429,S,Y,60000,5,1500,0,300,11821
Arunprasad,Desmedt,M,505,127-8727,GAMERCO,NM,87317,M,Y,75000,5.3,0,6600,3300,12011
Ashwani,McCallien,F,307,840-4957,ROBERTSON,WY,82944,M,N,90000,0,0,0,0,12670
Aske,Gorz,M,406,871-8128,BILLINGS,MT,59106,M,N,15000,6.9,0,3800,0,12825
Aspassia,Ikeo,F,202,201-9302,WASHINGTON,DC,20217,M,Y,70000,9,0,2740,1370,12914
Atanas,Miculan,M,303,487-1824,EDWARDS,CO,81632,S,N,75000,4.63,0,0,0,13133
Atanas,Vershinin,M,202,790-1612,WASHINGTON,DC,20071,S,Y,75000,0,1370,0,1370,13140
Atsuyoshi,Setliff,F,860,834-2851,GAYLORDSVILLE,CT,6755,S,N,35000,5,12750,0,0,13607
