fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Aahok,Galyean,M,574,620-2660,INDIANAPOLIS,IN,46253,M,Y,100000,3.4,0,2000,1000,41
Abdechahid,Cheiner,M,217,685-4225,MENARD,IL,62259,M,Y,10000,3,0,4000,2000,284
Abdelwaheb,Braschler,M,480,890-6973,WICKENBURG,AZ,85390,M,N,25000,3.1025,0,4200,0,598
Abdesselam,Servi,F,812,773-4696,NAPPANEE,IN,46550,S,N,40000,3.4,1000,0,0,675
Ada,Rosenberg,F,567,457-1363,AKRON,OH,44319,S,Y,40000,1.8738205,1300,0,1300,1128
Adadeji,Bruscoli,F,731,250-8285,EIDSON,TN,37731,S,Y,65000,0,0,0,0,1150
Adas,Habel,M,347,881-6811,SWAIN,NY,14884,S,Y,75000,4.3881097,0,0,1000,1244
Adegbemiga,Wyrostek,F,603,950-3350,MOUNT WASHINGTON,NH,3589,M,Y,60000,0,0,0,0,1261
Adi,Luck,F,502,792-5210,WACO,KY,40385,M,N,30000,3.5,0,40,0,1434
Aditya,Kieras,F,256,442-9679,GLEN ALLEN,AL,35559,S,Y,10000,5,1500,0,300,1608
Adly,Crowther,M,636,826-8676,DITTMER,MO,63023,S,N,90000,6,2100,0,0,1617
Adnan,Kubiak,F,402,195-9435,CROOKSTON,NE,69212,S,N,80000,6.84,103,0,0,1639
Adrain,Hemami,M,302,287-1027,MAGNOLIA,DE,19962,M,Y,90000,5.95,0,220,110,1749
Adri,Uustalu,M,505,348-2677,SACRAMENTO,NM,88347,M,N,55000,5.3,0,6600,0,1769
Adwait,Krymolowski,M,605,126-7333,LESTERVILLE,SD,57040,S,Y,90000,0,0,0,0,1915
Adwin,Popplestone,F,208,493-3487,HAMMETT,ID,83627,S,N,40000,7.8,3300,0,0,1933
Agnes,Stamm,M,701,363-8644,ZAP,ND,58580,S,N,80000,2.68309,3300,0,0,2329
Agostino,Roussille,M,603,106-4914,SPOFFORD,NH,3462,M,Y,95000,0,0,0,0,2403
Aiguo,Marletta,F,803,540-8486,MC CORMICK,SC,29899,S,N,35000,7,3300,0,0,2763
Aimo,Perz,M,507,8j75-9044,EDEN PRAIRIE,MN,55347,M,Y,100000,7.85,0,6600,3300,2987
Aito,Simon,F,208,550-3772,BOISE,ID,83701,M,Y,15000,5.529042,0,6600,3300,3140
Akeel,Kshemkalyani,M,937,935-1070,NORTH ROBINSON,OH,44856,S,Y,95000,3.6995387,1300,0,1300,3372
Akila,Zodik,M,732,764-6412,EAST BRUNSWICK,NJ,8816,M,Y,90000,2.5039582,0,2000,1500,3805
Akiniro,Schapire,F,802,432-9946,WELLS RIVER,VT,5081,M,N,100000,4.994672,0,6600,0,3845
Akira,Bestavros,M,843,129-9636,WARRENVILLE,SC,29851,M,N,65000,7,0,6600,0,3924
Alasdair,Trudel,F,302,837-2868,MILLVILLE,DE,19967,S,Y,70000,5.95,110,0,110,4328
Aldo,Calvary,F,208,834-4641,LUCILE,ID,83542,M,Y,15000,5.529042,0,6600,3300,4523
Alec,Enomoto,M,206,374-3289,WALLA WALLA,WA,99362,S,N,75000,0,0,0,0,4573
Alica,Stylianou,F,310,912-4403,ORANGEVALE,CA,95662,M,N,100000,9.3,0,174,0,5408
Alin,Wassenhove,M,802,688-7069,CAMBRIDGEPORT,VT,5141,S,Y,80000,4.5967627,3300,0,3300,5496
Alty,Highnam,F,720,532-3637,DENVER,CO,80273,M,N,95000,4.63,0,0,0,6180
Aluzio,Pokrovskii,F,302,762-2726,FREDERICA,DE,19946,M,Y,30000,3.9045453,0,220,110,6214
Alyman,Mennie,F,303,303-2236,LAZEAR,CO,81420,M,N,5000,4.63,0,0,0,6308
Amanda,Mackenthun,M,386,174-9139,FORT LAUDERDALE,FL,33331,S,Y,35000,0,0,0,0,6485
Amante,Nagafuji,M,308,113-1619,FORT CALHOUN,NE,68023,M,Y,50000,6.84,0,206,103,6566
Ambros,Braccini,F,907,383-9670,KALSKAG,AK,99607,S,Y,35000,0,0,0,0,6698
Amitavo,Menczer,M,787,673-2091,CASTANER,PR,631,S,Y,5000,0,0,0,0,7080
Amnon,Genther,F,857,793-4158,WEST DENNIS,MA,2670,M,Y,45000,5.3,0,7150,1000,7171
Amos,Bousson,M,608,414-7301,MONTREAL,WI,54550,S,N,25000,4.880782,700,0,0,7230
Amrit,Ashman,F,660,419-2868,BRIXEY,MO,65618,M,N,35000,6,0,o4200,0,7325
Amynmohamed,Nagashima,M,701,667-6108,SHERWOOD,ND,58782,S,Y,50000,2.3353226,3300,0,3300,7391
Ananth,Helland,F,435,277-7394,FILLMORE,UT,84631,M,N,15000,7,0,4950,0,7542
Anany,Gwinn,F,408,650-1848,EL PORTAL,CA,95318,S,Y,45000,9.3,87,0,272,7576
Anargyros,Gonzales,F,907,543-4971,PETERSBURG,AK,99833,S,N,50000,0,0,0,0,7596
Anastasia,Tjiang,M,435,732-1121,LOGAN,UT,84323,M,N,100000***,7,0,4950,0,7627
Anatoli,Siniolakis,M,262,518-3794,SHEBOYGAN FALLS,WI,53085,M,N,15000,4.707031,0,1400,0,7749
Andrea,Haskin,F,787,807-8998,CIALES,PR,638,M,Y,65000,0,0,0,0,8052
Andy,Raebel,F,406,377-9468,BILLINGS,MT,59104,S,Y,40000,6.9,1900,0,1900,8294
Anestis,Christianson,M,702,936-1280,MINA,NV,89422,M,Y,90000,0,0,0,0,8360
Anette,McCallien,F,812,841-5714,PALMYRA,IN,47164,M,N,50000,3.4,0,2000,0,8394
Annalina,Dahl,M,620,715-7690,BAILEYVILLE,KS,66404,S,N,85000,6.45,2250,0,0,8985
Anne,Onaga,F,662,725-7499,SENATOBIA,MS,38668,S,Y,40000,5,6000,0,1500,9023
Ansgar,Balcder,F,401,342-7046,FORESTDALE,RI,2824,S,Y,55000,0,0,0,0,9473
Antonis,Kovalyov,M,603,647-6009,HENNIKER,NH,3242,S,N,50000,0,0,0,0,9912
Antony,Dattasharma,M,765,715-8311,INDIANAPOLIS,IN,46250,M,Y,75000,3.4,0,2000,1000,9963
Anzhelika,Mattmann,M,281,613-6353,SPRING,TX,77387,M,Y,90000,0,0,0,0,10202
Aran,Brotz,F,801,381-1052,MONUMENT VALLEY,UT,84536,S,Y,25000,7,2475,0,2475,10447
Arco,Proskurowski,F,480,346-5576,PHOENIX,AZ,85074,S,N,70000,3.8,2100,0,0,10612
Ardie,Baez,F,770,517-9806,AUGUSTA,GA,30906,S,Y,30000,6,2700,0,3000,10756
Aria,Ramsey,F,406,165-7018,LOMA,MT,59460,S,N,85000,6.9,1900,0,0,10860
Arindam,Swist,M,307,840-5593,JAY EM,WY,82219,S,Y,25000,0,0,0,0,10962
Aristotelis,Eid,M,805,934-9345,SAN FRANCISCO,CA,94116,S,N,30000,6.590543,87,0,0,11088
Asham,Buckland,F,939,563-9322,BARRANQUITAS,PR,794,S,N,70000,0,0,0,0,12394
Asim,Hirzer,F,336,419-2005,WHITTIER,NC,28789,M,N,80000,7.410839,0,6600,0,12734
Aske,Farrel,M,202,273-7215,WASHINGTON,DC,20071,M,N,10000,4.5,0,2740,0,12831
Athanassios,Levenez,F,973,534-3270,HASBROUCK HEIGHTS,NJ,7604,S,Y,95000,2.5828125,1000,0,1500,13227
Atsuo,Guaiana,F,401,859-7750,WAKEFIELD,RI,2880,M,N,25000,0,0,0,0,13566
Augustin,Blanning,M,208,236-1559,TWIN FALLS,ID,83303,M,N,15000,5.529042,0,6600,0,13870
Aylmer,Rouchaleau,F,405,111-6731,BROKEN BOW,OK,74728,M,Y,90000,6.25,0,2000,1000,14775
