fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Aamer,Kipnis,F,580,844-7019,KANSAS,OK,74347,S,Y,85000,6.25,1000,0,1000,63
Amokrane,Macpherson,M,808,903-1266,KEALIA,HI,96751,S,Y,30000,6.447368,40,0,1040,7188
Anjaneyulu,Zhakarov,M,240,683-9748,ABERDEEN PROVING GROUND,MD,21005,M,N,50000,4.75,0,4800,0,8860
Anno,Hoopes,F,206,283-1897,SEATTLE,WA,98191,S,Y,60000,0,0,0,0,9344
Aviel,Mimpen,M,410,388-5646,HILLSBORO,MD,21641,M,N,55000,4.75,0,4800,0,14258
Bartek,Gudeman,M,414,951-3845,EPHRAIM,WI,54211,S,N,75000,5.7495394,700,0,0,16300
Igal,Hameroff,M,808,828-9301,HONOLULU,HI,96802,M,Y,40000,8.25,0,2080,1040,8589946474
Johan,Rodham,F,910,416-4114,GARYSBURG,NC,27831,M,N,90000,7.6206293,0,6600,0,8589957217
Kan,Banreuther,F,856,926-1102,CLIFTON,NJ,7012,S,Y,10000,1.4,1000,0,1500,8589961872
Kyung,Broker,F,410,241-3432,NEW MIDWAY,MD,21775,M,N,50000,4.75,0,4800,0,8589972110
Maartje,Malama,M,785,148-2195,DOWNS,KS,67437,M,Y,5000,3.5,0,4500,2250,8589979779
Ned,Mallorqui,F,307,290-3518,GROVER,WY,83122,S,Y,95000,0,0,0,0,17179875613
Omri,Mitrou,F,540,465-2471,WILLIAMSBURG,VA,23187,S,N,95000,5.75,900,0,0,17179880261
Pavan,Ilarraza,M,787,555-7826,PUERTO REAL,PR,740,S,N,95000,0,0,0,0,17179883502
Ra''ed,Peres,F,317,290-3684,CHARLOTTESVILLE,IN,46117,S,N,90000,3.4,1000,0,0,17179889636
Raid,Chappell,M,440,768-6452,NEWPORT,OH,45768,S,Y,20000,1.2099231,1300,0,1300,17179890226
Sujoy,Gerards,F,260,873-4238,CROWN POINT,IN,46308,S,N,20000,3.4,1000,0,0,17179916531
Talel,Restivo,F,202,713-4961,WASHINGTON,DC,20068,S,N,45000,9,1370,0,0,17179920486
Teodor,Sweazey,F,406,806-5228,LODGE GRASS,MT,59050,S,N,90000,6.9,1900,0,0,17179922158
Winnie,Bala,F,775,354-7183,THE LAKES,NV,88905,S,Y,35000,0,0,0,0,25769814404
Xuerong,Maehle,M,307,168-5521,CASPER,WY,82609,S,Y,55000,0,0,0,0,25769817623
