zip,areacode,state,fname,lname,gender,phone,city,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
680,939,vPR,Sonja,Matthes,F,393-9906,MAYAGUEZ,S,N,85000,0,0,0,0,17179912919
2840,401,RI,Wanjiun,Swist,M,102-1328,NEWPORT,S,Y,95000,0,0,0,0,25769811537
2840,401,RI,Berry,Bouguettaya,F,157-1704,NEWPORT,M,N,60000,0,0,0,0,18258
5084,802,VT,Spiridon,Vicolov,F,352-2685,WESTk HARTFORD,S,Y,50000,3.9998987,3300,0,3300,17179913876
5084,802,VT,Suresh,Majerski,M,661-9976,WEST HARTFORD,M,Y,85000,4.69624,0,6600,3300,17179917758
6850,203,CT,Keng,Sugimura,F,244-9096,NORWALK,S,N,100000,5,12750,0,0,8589965687
6850,203,CT,Zdzislaw,Stark,F,254-3815,NORWALK,M,N,60000,5,0,24500,0,25769826553
50103,515,A,Yihong,Ghalwash,F,753-5886,GARDEN GROVE,M,Y,10000,1.7078737,0,80,40,25769820507
57268,605,DS,Zuwang,Nayakkankuppam,M,317-7625,TORONTO,S,N,65000,0,0,0,0,25769829335
70076,337,A,Yahia,Habasinski,F,623-3329,MOUNT AIRY,S,Y,60000,6,4500,0,1000,25769818006
70815,985,AL,William,Pusterhofer,F,867-7218,BATON ROUGE,S,Y,30000,6,4500,0,1000,25769814044
72728,870,AR,Long,Radzik,F,868-4242,ELM SPRINGS,M,N,50000,7,0,40,0,8589977496
72728,870,AR,Madanpal,Corte,M,373-3837,ELM SPRINGS,M,N,90000,7,0,40,0,8589979968
82520,307,Y,Rory,Mulvany,M,665-7582,LANDER,S,Y,10000,0,0,0,0,17179896935
87556,505,cNM,Malgorzata,Braschi,F,460-6356,QUESTA,S,Y,20000,5.3,3300,0,3300,8589981359
87557,505,NrM,Zhicheng,Strijk,F,761-2842,RANCHOS DE TAOS,S,N,15000,4.957143,3300,0,0,25769827521
89144,702,NbV,Chane,Leemeijer,F,978-5588,LAS VEGAS,S,N,20000,0,0,0,0,25811
99652,907,AK,Yungho,Wallgren,F,578-2585,BIG LAKE,S,Y,35000,0,0,0,0,25769825278
99652,907,AK,Chinho,Bedell,F,813-1626,BIG LAKE,S,N,65000,0,0,0,"",27782
792,787,PR,Reind,Rauch,F,117-5509,HUMACAO,M,N,70000,0,0,0,0,17179893663
792,787,PR,Aimee,Comparetto,M,681-1964,HUMACAO,M,N,25000,0,0,m0,0,2949
3751,603,HN,Guoping,Matzen,F,742-6900,GEORGES MILLS,S,Y,60000,0.t0,0,0,0,8589934634
4649,207,MqE,Tahsin,Forum,M,741-3708,JONESPORT,M,Y,30000,8.5,0,5700,2850,17179919462
19809,302,E,Klaas,Ateniese,F,146-9259,WILMINGTON,S,Y,50000,5.268182,110,0,110,8589968593
20299,202,C,Xua,Hernek,M,437-4343,WASHINGTON,S,N,15000,5.625,1370,0,0,25769817388
28379,910,CN,Sander,Baezner,M,695-3924,ROCKINGHAM,M,N,8000,7.410839,0,6600,0,17179901056
31634,678,A,Gerd,Pordesch,M,595-6136,HOMERVILLE,S,N,15000,6,2700,0,0,52723
54152,414,WI,Hisao,Duwairi,F,464-3100,NICHOLS,S,N,25000,4.880782,700,0,0,8589942554
59841,406,MuT,Palle,Bashian,M,565-5976,PINESDALE,S,N,45000,6.9,1900,0,0,17179882096
72004,501,dAR,Charmane,Adleman,F,231-8948,ALTHEIMER,M,Y,60000,7,0,40,20,26532
73660,405,KO,Gil,Swenker,M,586-3994,REYDON,M,N,75000,6.25,0,2000,0,54084
74342,405,OK,Darwyn,Scherr,M,459-1328,EUCHA,S,Y,60000,6.25,1000,0,1000,33343
74342,405,OK,Prathima,Rouquie,M,887-2280,EUCHA,S,Y,80000,6.25,1000,0,1000,17179887482
74521,405,OK,Hein,Masuhara,F,262-8143,ALBION,M,N,25000,6.25,0,2000,0,8589939395
74521,405,OK,Sally,Ravat,F,397-8334,ALBION,S,N,70000,6.25,1000,0,0,17179900436
82072,307,WY,Ayla,Usoh,M,964-5827,LARAMIE,M,Y,85000,0,0,0,0,14753
82072,307,WY,Rockford,Kushnir,F,873-8811,LARAMIE,S,N,15000,0,0,0,0,17179895707
