index,tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,0,Pengyuan,Zendler,F,508,744-9007,ERWIN,SD,0,M,N,90000,5.3,0,7150,0
2,90,Dung,Pike,F,774,133-6113,BRIDGEWATER,MA,2325,S,N,55000,5.3,3575,0,0
3,100,Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000
4,102,Baoquan,Guha,F,339,730-7750,EAST WALPOLE,MA,2032,S,Y,40000,5.3,3575,0,1000
5,114,Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,S,Y,30000,0.0,0,0,0
6,120,Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,7150,1000
7,153,John,Sherratt,empty,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,0,0
8,162,Taylor,Sanada,F,787,500-5910,MOCA,PR,676,M,Y,85000,0.0,0,0,0
9,206,Suzan,Duclos,F,401,664-5371,PAWTUCKET,RI,2861,S,Y,90000,0.0,0,0,0
10,220,Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0
11,243,Sonoko,Dam,F,939,206-1159,CABO ROJO,PR,623,S,N,45000,0.0,0,0,0
12,279,Imari,Kleinjohann,F,401,143-3552,CUMBERLAND,RI,2864,S,Y,30000,0.0,0,0,0
13,281,Bilhanan,Sione,F,774,767-4605,NEEDHAM HEIGHTS,MA,2494,M,N,15000,5.3,0,7150,0
14,293,Xiannong,Pinzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,5.3,3575,empty,0
15,296,Humphrey,Ramamoorthy,F,401,466-2957,CALYVILLE,RI,0,M,N,90000,0.0,0,0,0
16,308,Ljiljana,Smeets,F,508,693-9220,AGAWAM,MA,0,M,Y,45000,5.3,0,7150,1000
17,353,Nitsan,Ertl,M,351,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000
18,357,Ludwik,Hamburg,M,978,529-7308,ASHFIELD,MA,1330,M,Y,5000,5.3,0,7150,1000
19,373,Lein,Ang,F,857,188-6322,HOLYOKE,MA,1041,S,Y,90000,5.3,355,0,1000
20,386,Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,0,7150,1000
21,421,Avadis,Dattasharma,M,508,449-5112,ACCORD,MA,2018,S,Y,85000,5.3,3575,0,1000
22,430,Toshifumi,Leguy,F,939,334-4361,ANOVANAS,PR,729,M,Y,45000,0.0,0,0,0
23,432,Houssem,Sewry,M,401,266-7110,HARRISVILLE,RI,2830,S,N,55000,0.0,0,0,0
24,433,Saydean,Banare,M,508,137-3292,EAST WEYMOUTH,MA,2189,S,Y,5000,5.3,3575,0,1000
25,486,Staphane,Spitz,F,774,393-2358,STOW,MA,1775,M,N,50000,5.3,0,7150,0
26,495,Hongwei,Clo,M,413,475-1491,EAST FALMOUTH,MA,2536,M,Y,80000,5.3,0,7150,1000
27,502,Paramsothy,Orgass,F,0,823-8510,MILL RIVER,MA,1244,M,Y,10000,5.3,0,7150,1000
28,504,Toshihiro,Gerla,F,351,318-2767,BOSTON,MA,2284,S,Y,20000,5.3,3575,0,1000
29,549,Gennaro,Trumbly,M,787,595-5613,COTO LAUREL,PR,780,S,Y,15000,0.0,0,0,0
30,577,Mel,Kiesler,M,787,296-3383,BOQUERON,PR,622,S,Y,100000,0.0,0,0,0
31,583,Cathryn,Melton,F,401,486-2392,ADAMSVILLE,RI,0,M,Y,90000,0.0,0,0,0
32,614,Minghui,Kubota,M,508,612-5997,CHARLTON DEPOT,MA,1509,M,Y,80000,5.3,0,7150,1000
33,616,Shao,Reece,M,508,565-6451,BOSTON,MA,2118,M,Y,5000,5.3,0,7150,1000
34,625,Sylvian,Hinnebusch,M,0,925-8319,ADJUNTAS,PR,0,S,Y,45000,0.0,0,0,0
35,672,Bette,Szymczak,M,781,777-2635,BOSTON,MA,2114,S,Y,20000,5.3,3575,0,1000
36,684,Darwyn,Seegmuller,fM,774,223-3659,NORTH ATTLEBORO,MA,2760,M,Y,95000,5.3,0,7150,1000
37,746,Lenhart,Birch,M,413,257-5349,SANDWICH,MA,2563,S,N,50000,5.3,3575,0,0
38,754,Parosh,Takaki,M,781,792-2993,SOUTH EGREMONT,MA,1258,M,N,95000,5.3,0,7150,0
39,768,Soheil,Aluja,F,939,903-6883,QUEBRADILLAS,PR,678,M,N,15000,0.0,0,0,0
40,793,Mayford,Bhagavan,F,939,996-9079,SAN JUAN,PR,917,S,Y,30000,0.0,0,0,0
41,817,Tammy,Hohberg,F,787,336-2031,AGUADILLA,PR,603,S,N,75000,0.0,0,0,0
42,827,Berend,Hodas,F,0,261-9512,SAN JUAN,PR,0,M,N,15000,0.0,0,0,0
43,835,Willy,Oates,M,413,145-2185,LAKEVILLE,MA,2347,M,Y,60000,5.3,0,7150,1000
44,875,Soufiane,Tryon,F,787,212-3685,JUNCOS,PR,777,S,Y,70000,0.0,0,0,0
45,881,Glauco,Belanche,M,508,791-9297,GREEN HARBOR,MA,2041,M,Y,100000,5.3,0,7150,1000
46,918,Erdogan,Shepherdson,F,857,384-5820,MARSTONS MILLS,MA,2648,M,Y,100000,5.3,0,7150,1000
47,941,Paul,Ying,M,939,493-8231,PONCE,PR,730,S,Y,60000,0.0,0,0,0
48,946,Gherin,Raja,M,413,925-1387,WORCESTER,MA,1653,M,Y,95000,5.3,0,7150,1000
49,951,Mybrid,Biryukov,F,339,793-3760,BOYLSTON,MA,1505,S,N,20000,5.3,3575,0,0
50,972,Brig,Obtulowicz,F,939,291-3171,SAN JUAN,PR,902,M,N,45000,0.0,0,0,0
51,977,Thang,Sever,M,617,134-5111,LYNN,MA,1910,M,Y,45000,5.3,0,7150,1000
52,1022,Tuong,Hancart,M,0,786-4546,ALBION,RI,2802,S,N,65000,0.0,0,0,0
53,1045,Nipun,Palaniappan,M,939,288-7408,PONCE,PR,731,S,N,20000,0.0,0,0,0
54,1060,Foong,Marefat,M,787,552-5728,HUMACAO,PR,791,S,Y,35000,0.0,0,0,0
55,1070,Nagui,Milicia,M,401,515-4778,NORTH KINGSTOWN,RI,2852,M,N,40000,0.0,0,0,0
56,1071,Brij,Schrock,F,351,145-7396,EASTHAMPTON,MA,1027,S,N,100000,5.3,3575,0,0
57,1100,Jianqiang,Twardowski,F,787,433-8689,SAN SEBASTIAN,PR,685,S,N,90000,0.0,0,0,0
58,1153,Serge,Olveszky,F,401,510-4370,ASHAWAY,RI,2804,S,N,5000,0.0,0,0,0
59,1175,Moss,Lindberg,M,339,668-5118,BERKSHIRE,MA,1224,M,Y,5000,5.3,0,7150,1000
60,1184,Ramadan,Roelofsen,F,401,216-3801,NEWPORT,RI,2840,M,Y,55000,0.0,0,0,0
61,1191,Jerzy,Uchiyama,M,339,404-2765,MONROE BRIDGE,MA,1350,M,N,20000,5.3,0,7150,0
62,1235,Lukas,Villoldo,M,401,325-3194,ACROLINA,RI,0,0,Y,50000,0.0,0,0,0
63,1241,Clarence,Lyle,M,857,908-2582,SAUGUS,MA,1906,M,N,100000,5.3,0,7150,0
64,1266,Chengdian,Schulman,F,401,302-7791,GLENDALE,RI,2826,S,Y,100000,0.0,0,0,0
65,1287,Nagabhushana,Tepfenhart,M,401,962-7041,PORTSMOUTH,RI,2871,M,N,90000,0.0,0,0,0
66,1303,Kazutoshi,Madeira,M,787,975-9903,RINCON,PR,677,S,N,60000,0.0,0,0,0
67,1307,Jerald,Worona,M,787,260-4365,CAEYY,PR,737,M,Y,95000,0.0,0,0,0
68,1308,Wolfgang,Steckler,M,0,535-5922,BLOCK ISLAND,RI,2807,S,N,15000,0.0,0,0,0
69,1329,Kensaku,Guth,M,787,936-8782,SAN JUAN,PR,0,M,0,30000,0.0,0,0,0
70,1353,Shangzhi,Akiyama,F,939,167-3517,CAOMO,PR,769,S,Y,95000,0.0,0,0,0
71,1358,Pranav,Graf,F,857,564-8209,HOLYOKE,MA,1040,M,N,85000,5.3,0,7150,0
