tid,attribute,correct_val
0,index,1
0,id,1436
0,beer_name,Pub Beer
0,style,American Pale Lager
0,ounces,12
0,abv,0.05
0,ibu,
0,brewery_id,408
0,brewery_name,10 Barrel Brewing Company
0,city,Bend
0,state,OR
1,index,2
1,id,2265
1,beer_name,Devil's Cup
1,style,American Pale Ale (APA)
1,ounces,12
1,abv,0.066
1,ibu,
1,brewery_id,177
1,brewery_name,18th Street Brewery
1,city,Gary
1,state,IN
2,index,3
2,id,2264
2,beer_name,Rise of the Phoenix
2,style,American IPA
2,ounces,12
2,abv,0.071
2,ibu,
2,brewery_id,177
2,brewery_name,18th Street Brewery
2,city,Gary
2,state,IN
3,index,4
3,id,2263
3,beer_name,Sinister
3,style,American Double / Imperial IPA
3,ounces,12
3,abv,0.09
3,ibu,
3,brewery_id,177
3,brewery_name,18th Street Brewery
3,city,Gary
3,state,IN
4,index,5
4,id,2262
4,beer_name,Sex and Candy
4,style,American IPA
4,ounces,12
4,abv,0.075
4,ibu,
4,brewery_id,177
4,brewery_name,18th Street Brewery
4,city,Gary
4,state,IN
5,index,6
5,id,2261
5,beer_name,Black Exodus
5,style,Oatmeal Stout
5,ounces,12
5,abv,0.077
5,ibu,
5,brewery_id,177
5,brewery_name,18th Street Brewery
5,city,Gary
5,state,IN
6,index,7
6,id,2260
6,beer_name,Lake Street Express
6,style,American Pale Ale (APA)
6,ounces,12
6,abv,0.045
6,ibu,
6,brewery_id,177
6,brewery_name,18th Street Brewery
6,city,Gary
6,state,IN
7,index,8
7,id,2259
7,beer_name,Foreman
7,style,American Porter
7,ounces,12
7,abv,0.065
7,ibu,
7,brewery_id,177
7,brewery_name,18th Street Brewery
7,city,Gary
7,state,IN
8,index,9
8,id,2258
8,beer_name,Jade
8,style,American Pale Ale (APA)
8,ounces,12
8,abv,0.055
8,ibu,
8,brewery_id,177
8,brewery_name,18th Street Brewery
8,city,Gary
8,state,IN
9,index,10
9,id,2131
9,beer_name,Cone Crusher
9,style,American Double / Imperial IPA
9,ounces,12
9,abv,0.086
9,ibu,
9,brewery_id,177
9,brewery_name,18th Street Brewery
9,city,Gary
9,state,IN
10,index,11
10,id,2099
10,beer_name,Sophomoric Saison
10,style,Saison / Farmhouse Ale
10,ounces,12
10,abv,0.072
10,ibu,
10,brewery_id,177
10,brewery_name,18th Street Brewery
10,city,Gary
10,state,IN
11,index,12
11,id,2098
11,beer_name,Regional Ring Of Fire
11,style,Saison / Farmhouse Ale
11,ounces,12
11,abv,0.073
11,ibu,
11,brewery_id,177
11,brewery_name,18th Street Brewery
11,city,Gary
11,state,IN
12,index,13
12,id,2097
12,beer_name,Garce Selé
12,style,Saison / Farmhouse Ale
12,ounces,12
12,abv,0.069
12,ibu,
12,brewery_id,177
12,brewery_name,18th Street Brewery
12,city,Gary
12,state,IN
13,index,14
13,id,1980
13,beer_name,Troll Destroyer
13,style,Belgian IPA
13,ounces,12
