id,fname,lname,gender,iphone,areacode,zip,state,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,Abdelaziz,Kamakoti,F,744-7921,989,48747,MI,M,Y,15000,3.9,0,6200,3100
2,Adil,Ierardi,F,745-1489,989,49749,MI,M,N,15000,3.9,0,6200,0
3,Afonso,Morioka,F,444-1819,989,48468,MI,M,Y,90000,3.9,0,6200,3100
4,Afzal,Bodik,F,834-9738,989,49232,MI,S,Y,45000,3.9,3100,0,3100
5,Airi,Leitner,F,836-5520,989,48101,MI,S,N,95000,3.9,3100,0,0
6,Akeno,Smitley,M,119-9775,989,48103,MI,S,N,5000,3.9,3100,0,0
7,Akio,Seress,M,184-2791,989,48027,MI,S,N,5000,3.9,3100,0,0
8,Alessia,Merks,F,494-2501,989,48552,MI,S,Y,35000,3.9,3100,0,3100
9,Amabile,Wedberg,M,221-9885,989,49454,MI,M,N,60000,3.9,0,6200,0
10,Amabile,Flach,M,365-4657,989,49946,MI,S,Y,5000,3.9,3100,0,3100
11,Amalia,Blodorn,F,973-8959,989,49069,MI,M,Y,30000,3.9,0,6200,3100
12,Amitabh,Obozinski,M,408-7371,989,48559,MI,S,Y,65000,3.9,3100,0,3100
13,Ananlada,Knottenbelt,F,,989,48045,MI,S,N,15000,3.9,3100,0,0
14,Andres,Lupu,M,211-9805,989,48815,MI,M,Y,100000,3.9,0,6200,3100
15,Anita,Schnelling,F,498-8179,989,48824,MI,S,Y,95000,3.9,3100,0,3100
16,Annie,Mezzalama,F,215-3099,989,48911,MI,M,Y,5000,3.9,0,6200,3100
17,Aqeel,Monkewich,M,546-7231,989,48838,MI,M,Y,65000,3.9,0,6200,3100
18,Arantza,Holtman,F,169-3585,989,48856,MI,M,N,80000,3.9,0,6200,0
19,Arch,Kohri,M,374-6702,989,48302,MI,M,N,85000,3.9,0,6200,0
20,Arra,Plummer,F,438-3802,989,48808,MI,S,N,65000,3.9,3100,0,0
21,Asaf,Hiroyama,M,506-2368,989,48738,MI,M,Y,35000,3.9,0,6200,3100
22,Asbjorn,Hilgefort,M,987-2368,989,48823,MI,M,Y,95000,3.9,0,6200,3100
23,Aspassia,Shimony,F,142-3542,989,49130,MI,M,Y,35000,3.9,0,6200,3100
24,Assar,Bacher,M,403-7357,989,48383,MI,S,N,50000,3.9,3100,0,0
25,Aviram,Schoelles,F,689-3695,989,49325,MI,M,Y,54000,3.9,0,6200,3100
26,Bader,Farrag,F,810-3075,989,49042,MI,M,N,60000,3.9,0,6200,0
27,Bai,Gouy,M,995-7588,989,49079,MI,S,N,90000,3.9,3100,0,0
28,Balasubramaniam,Rachel,F,439-5313,989,49961,MI,S,N,45000,3.9,3100,0,
29,Basilio,Puppe,F,216-9953,989,49018,MI,S,N,90000,3.9,3100,0,0
30,Bastien,Slysz,F,101-5186,989,49307,MI,S,Y,25000,3.9,3100,0,3100
31,Beatriz,Rappoport,F,908-4667,989,49344,MI,M,Y,5000,3.9,0,6200,3100
32,Berl,Philbin,F,528-4604,989,49289,MI,M,Y,80000,3.9,0,6200,3100
33,Bett,Braunmuller,M,180-9562,989,49676,MI,M,N,75000,3.9,0,6200,0
34,Bevan,Bonsangue,F,747-7335,989,49036,MI,S,Y,50000,3.9,3100,0,3100
35,Bjarte,Rauscher,F,898-3622,989,49837,MI,S,N,80000,3.9,3100,0,0
36,Borivoj,Cherfaoui,F,653-2234,989,49777,MI,S,Y,15000,3.9,3100,0,3100
37,Bozhidar,Lucio,F,215-5606,989,48630,MI,S,N,100000,3.9,3100,0,0
38,Brenan,Hedidar,F,463-4964,989,48421,MI,M,Y,80000,3.9,0,6200,3100
39,Can,Cermak,M,128-6011,989,48092,MI,S,N,100000,3.9,3100,0,0
40,Carolynn,Michaels,M,485-9054,989,48831,MI,M,Y,60000,3.9,0,6200,3100
41,Cecylia,Parson,F,143-5536,989,48050,MI,M,Y,15000,3.9,0,6200,3100
42,Chandrajit,Khajenoori,M,935-7698,989,48847,MI,M,Y,50000,3.9,0,6200,3100
43,Chaosheng,Tagle,M,546-4211,989,48086,MI,S,Y,20000,39,3100,0,3100
44,Chirstian,Schwaller,F,657-2315,989,49784,MI,M,Y,75000,3.9,,6200,3100
45,Chitta,Rozni,F,562-6559,989,49967,MI,S,Y,55000,3.9,3100,0,3100
46,Chrisa,Gouy,M,973-8988,989,49221,MI,S,N,25000,3.9,3100,0,0
47,Christelle,Geerts,F,576-2644,989,48670,MI,M,N,40000,3.9,0,6200,0
48,Claudio,Lalanne,F,998-3588,989,48146,MI,S,N,70000,3.9,3100,0,0
49,CongDuc,Wiering,F,996-3756,989,49871,MI,S,N,35000,3.9,3100,0,0
50,Cord,Baalen,M,520-4210,989,49617,MI,S,Y,30000,3.9,3100,0,3100
51,Cordelia,Styblinski,M,573-3444,989,48240,MI,S,N,45000,3.9,3100,0,0
52,Courtland,Reps,F,216-5157,989,49873,MI,S,Y,25000,3.9,3100,0,310
53,Danielle,Mokryn,F,799-3416,989,48173,MI,S,N,25000,3.9,3100,,0
54,Dick,Govindjee,M,974-9426,989,48550,MI,S,Y,85000,3.9,3100,0,3100
55,Dietmar,Oppliger,F,940-9104,989,49464,MI,M,Y,65000,3.9,0,6200,3100
56,Dilian,Heydon,M,966-7922,989,49203,MI,S,Y,25000,3.9,3100,0,3z100
57,Dinah,Tuncel,M,514-9150,989,48049,MI,M,Y,10000,3.9,0,6200,3100
58,Doina,Piveteau,F,974-5719,989,49304,MI,M,N,50000,3.9,0,6200,0
59,DoKyeong,Reeker,M,889-6309,989,49264,MI,M,Y,75000***,3.9,0,6200,3100
60,Dongbo,Hobgood,F,555-8635,989,48834,MI,S,N,45000,3.9,3100,0,0
61,Dragomir,Yeung,M,411-2486,989,48340,MI,S,Y,85000,3.9,3100,0,3100
62,Dylan,Katalagarianos,F,886-8020,989,48423,MI,S,Y,90000,3.9,3100,0,3100
63,Dzung,Yeom,M,761-1966,989,49968,MI,S,Y,100000,3.9,3100,0,3100
64,Ebru,Troudi,M,353-6818,989,49262,MI,M,N,90000,3.9,0,6200,0
65,Edil,Oelmann,F,259-9661,989,49796,MI,S,N,50000,3.9,3100,0,0
66,Einoshin,Wixon,F,514-3895,989,49910,MI,M,N,45000,3.9,0,6200,0
67,Eneko,Tretkoff,M,552-2510,989,48111,MI,M,Y,60000,3.9,0,6200,3100
68,Erich,Aknine,M,403-8795,989,48806,MI,S,Y,100000,3.9,3100,0,3100
69,Ericka,Daun,F,616-6909,989,48088,MI,M,Y,25000,3.9,0,6200,3100
70,Erwin,Sherrell,M,556-7851,989,49007,MI,M,N,70000,3.9,0,6200,0
71,Erzsebet,Botten,F,302-1549,989,49020,MI,S,N,60000,3.9,3100,0,0
72,Etsuro,Kochetov,M,988-6296,989,49104,MI,M,N,20000,3.9,0,6200,0
73,Evaggelia,Klaeren,F,160-9410,989,49831,MI,M,N,25000,3.9,0,6200,0
74,Evgenija,Verhaegen,F,254-8307,989,49841,MI,M,Y,10000,3.9,0,6200,3100
75,Ewgeni,Flouret,F,440-9425,989,48153,MI,S,N,90000,3.9,3100,0,0
76,Farahangiz,Theodoratos,F,388-5218,989,48214,MI,S,Y,100000,3.9,3100,0,3100
77,Filiberto,Khamiss,M,580-3914,989,49005,MI,S,N,25000,3.9,3100,0,0
78,Filomena,Rimmek,M,592-5678,989,48875,MI,S,Y,5000,3.9,3100,0,3100
79,Floriana,Kailath,F,326-4656,989,48370,MI,S,N,40000,3.9,3100,0,0
80,Galen,Korein,M,,989,49620,MI,S,N,40000,3.9,3100,0,0
81,Geraldine,Kaarela,M,363-8718,989,48044,MI,M,Y,70000,3.9,0,6200,3100
82,Gerassimos,Ramarao,M,908-5452,989,49746,MI,S,Y,75000,3.9,3100,0,3100
83,Gertrud,Ishii,M,720-5998,989,49448,MI,M,N,15000,3.9,0,6200,0
84,Giannis,Harllee,F,149-4292,989,48004,MI,M,Y,30000,3.9,0,6200,3100
85,Giedrius,Auletta,F,713-9174,989,48308,MI,S,N,95000,3.9,3100,0,0
86,Guhan,Suter,M,167-6528,989,49010,MI,M,N,65000,3.9,0,6200,0
87,Guijun,Huitric,,799-7919,989,48506,MI,S,Y,15000,3.9,3100,0,3100
88,Gultekin,Carzaniga,M,356-3793,989,48663,MI,S,N,80000,3.9,3100,0,0
89,Guorong,Perritt,F,596-4700,989,48240,MI,M,N,20000,3.9,0,6200,0
90,Gwyneth,Wirl,F,274-5706,989,49806,MI,M,Y,55000,3.9,0,6200,3100
91,Gyu,Balsters,qF,804-5956,989,48429,MI,M,Y,100000,3.9,0,6200,3100
92,Haechull,Halpenny,M,898-1543,989,49282,MI,M,Y,30000***,3.9,0,6200,3100
93,Haesun,Obtulowicz,M,786-4518,989,49250,MI,S,N,25000,3.9,3100,0,0
94,Hafedh,Leick,M,746-6336,989,48421,MI,S,Y,85000,3.9,3100,0,3100
95,Hayao,Vesel,M,552-6603,989,49707,MI,M,Y,70000,3.9,0,6200,3100
96,Henry,Antonakopoulos,F,409-6919,989,48475,MI,M,Y,40000,3.9,0,6200,3100
97,Hercules,Strole,M,257-7974,989,48632,MI,M,Y,75000,3.9,0,6200,3100
98,Hiroaki,Forslund,M,509-2294,989,49715,MI,S,Y,55000,3.9,3100,0,3100
99,Hirotomo,Gershman,F,482-5967,989,49879,MI,S,N,80000,3.9,3100,0,0
100,Hollie,Auddino,M,478-2579,989,49076,MI,S,Y,85000,3.9,3100,0,3100
101,Holly,Boeck,F,989-6743,989,49450,MI,M,Y,20000,3.9,0,6200,3100
102,Hongzhu,Schroeppel,M,538-9627,989,49404,MI,S,Y,65000,3.9,3100,0,3100
103,Horst,Pelz,F,475-3456,989,48356,MI,S,N,90000,3.9,3100,0,0
104,Huu,Erol,M,817-1063,989,48044,MI,M,Y,45000,3.9,0,6200,3100
105,Idranil,Abellanas,M,825-3980,989,48111,MI,M,Y,50000,3.9,0,6200,3100
106,Innes,Guangyi,F,551-5933,989,48886,MI,***,N,15000,3.9,3100,0,0
107,Iraj,Sueyoshi,F,157-4599,989,48226,MI,S,Y,65000,3.9,3100,0,3100
108,Ishwar,Dangedej,M,136-3897,989,48047,MI,M,Y,50000,3.9,0,6200,3100
109,Ives,Thorensen,M,594-3365,989,48472,MI,S,,45000,3.9,3100,0,0
110,Izzet,Bedell,M,887-5965,989,49440,MI,M,Y,10000,3.9,0,6200,3100
111,Jaber,Hogge,F,139-9989,989,49945,MI,M,Y,50000,3.9,0,6200,3100
112,Jacky,Sessions,F,298-2473,989,49245,MI,S,Y,80000,3.9,3100,0,3100
113,Jaffa,Harnpanichpun,M,355-9887,989,48686,MI,S,Y,100000,3.9,3100,0,3100
114,Jamshed,Dowden,M,231-2817,989,49919,MI,M,Y,60000,3.9,0,6200,3100
115,Janett,Ingolfsdottir,F,243-7980,989,48126,MI,M,N,20000,3.9,0,6200,0
116,Jarl,Alton,F,786-5126,989,49916,MI,M,Y,5000,3.9,0,6200,3100
117,Jeanleah,Vrsalovic,M,960-8012,989,48071,MI,M,N,90000,3.9,0,6200,0
118,Jens,Easwarakumar,M,762-3822,989,48434,MI,S,N,20000,3.9,3100,0,0
119,Jerrell,Uehara,M,170-6338,989,49685,MI,S,Y,5000,3.9,3100,0,3100
120,Jiankun,Zedlitz,F,153-4041,989,48805,MI,M,N,85000,39,0,6200,0
121,Jihoon,Ertl,M,538-8606,989,48065,MI,M,N,60000,3.9,0,6200,0
122,Jine,Sahidar,M,269-3747,989,48025,MI,M,N,85000,3.9,0,6200,0
123,Jine,Mareels,M,853-6193,989,48614,MI,M,Y,8f5000,3.9,0,6200,3100
124,Jinghong,Cannane,F,766-1415,989,49915,MI,S,Y,75000,3.9,3100,0,3100
125,Joergen,Markatos,M,489-9083,989,49822,MI,S,N,85000,3.9,3100,0,0
126,Josephus,Lucio,M,864-2109,989,48819,MI,***,N,85000,3.9,3100,0,0
127,Josiane,Ullman,F,541-2236,989,49645,MI,M,Y,35000,3.9,0,6200,3100
128,Jude,Bann,F,656-3444,989,48853,MI,M,N,30000,3.9,0,6200,0
129,Kaila,Eyre,F,746-4047,989,49668,MI,M,N,65000,3.9,0,6200,0
130,Kamel,Heljanko,M,830-2325,989,49528,MI,S,Y,55000,3.9,3100,0,3100
131,Kanth,Wohlleber,F,146-9643,989,49523,MI,M,,35000,3.9,0,6200,0
132,Kanth,Peter,F,614-6118,989,49031,MI,M,N,40000,3.9,0,6200,0
133,Kanwar,Guvenir,F,182-1539,989,48049,NJ,M,Y,50000,3.9,0,6200,3100
134,Kapetanakis,Vines,M,643-7286,989,48187,MI,S,Y,5000,3.9,3100,0,3100
135,Kasper,Beam,M,614-4856,989,49455,MI,S,N,70000,3.9,3100,0,0
136,Kee,Aluja,M,334-3189,989,49342,MI,S,Y,15000,3.9,3100,0,3100
137,Kemji,Vingron,F,433-4478,989,49640,MI,S,N,15000,3.9,3100,0,0
138,Kenan,Daly,F,181-7753,989,48061,MI,M,N,100000,3.9,0,6200,0
139,Kendall,Ashman,F,364-9946,989,49912,MI,M,N,20000,3.9,0,6200,0
140,Kinson,Sueyoshi,M,660-4274,989,49332,MI,S,Y,30000,3.9,3100,0,3100
141,Klemens,Sloope,F,475-6203,989,49637,MI,S,Y,30000,3.9,3100,0,3100
142,Koral,Schewe,F,955-6356,989,48629,MI,S,N,45000,3.9,3100,0,0
143,Kris,Gruninger,M,814-9279,989,48346,NJ,S,Y,5000,3.9,3100,0,3100
144,Krishnamoorthy,Guzdial,M,321-6594,989,48807,MI,M,N,35000,3.9,0,6200,0
145,Krishnamurthy,Boufaida,F,371-5676,989,48609,MI,M,Y,75000,3.9,0,6200,3100
146,Krzysztof,Chvatal,F,464-2781,989,49887,MI,S,N,100000,3.9,3100,0,0
