tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
0,Pengyuan,Zendler,F,508,744-9007,SWAMPSCOTT,MA,0,M,N,90000,5.3,0,7150,0
42,Avelino,English,M,401,795-3153,WESTERLY,RI,2891,M,Y,70000,0.0,0,0,0
45,Yuyan,Simao,M,603,350-5756,EAST DERRY,NH,3041,M,Y,50000,0.0,0,0,0
65,Montgomery,Odberg,M,802,390-6816,BROWNSVILLE,VT,5037,S,N,60000,4.1988535,3300,0,0
71,Mirit,Hanchek,F,0,995-2629,CANAAN,NH,3741,M,Y,70000,0.0,0,0,0
82,Hiromu,Nobauer,M,401,119-4372,KINGSTON,RI,2881,S,N,75000,0.0,0,0,0
90,Dung,Pike,F,774,133-6113,BRIDGEWATER,MA,2325,S,N,55000,5.3,3575,0,0
92,0,Merhav,empty,603,379-9505,GLEN,NH,3838,M,N,15000,0.0,0,0,0
97,Juanita,Sivarajan,F,603,966-6735,GRAFTON,NH,3240,S,Y,30000,0.0,0,0,0
100,Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000
102,Baoquan,Guha,F,339,730-7750,EAST WALPOLE,MA,2032,S,Y,40000,5.3,3575,0,1000
114,Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,S,Y,30000,0.0,0,0,0
116,Giuseppe,Daigle,M,603,900-7725,MANCHESTER,NH,3104,M,Y,70000,0.0,0,0,0
120,Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,7150,1000
138,Mitsuhisa,Papadimitriou,F,207,410-8062,GOULDSBORO,ME,4607,S,Y,60000,8.5,2850,0,2850
153,John,Sherratt,M,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,0,0
160,Prabhudev,Kodama,F,802,216-5879,ASCUTNEY,VT,5030,M,Y,70000,4.397808,0,6600,3300
162,Taylor,Sanada,F,0,500-5910,MOCA,PR,0,M,Y,85000,0.0,0,0,0
191,Rondall,Treweek,F,603,108-9496,NORTH STRATFORD,NH,3590,M,Y,10000,0.0,0,0,0
206,Suzan,Duclos,F,401,664-5371,PAWTUCKET,RI,2861,S,Y,90000,0.0,0,0,0
220,Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0
223,Djamila,Crepeau,F,603,740-3671,EAST KINGSTON,NH,3827,M,Y,60000,0.0,0,0,0
243,Sonoko,Dam,F,939,206-1159,CABO ROJO,PR,623,S,N,45000,0.0,0,0,0
261,Tricia,Cosica,F,207,356-5611,SHAWMUT,ME,4975,M,Y,50000,8.5,0,5700,2850
278,Till,Kotani,F,207,240-8137,EAST BOOTHBAY,ME,4544,S,Y,5000,2.2135036,2850,0,2850
279,Imari,Kleinjohann,F,401,143-3552,CUMBERLAND,RI,2864,S,Y,30000,0.0,0,0,0
281,Bilhanan,Sione,F,774,767-4605,NEEDHAM HEIGHTS,MA,2494,M,N,15000,5.3,0,7150,0
286,Grigoris,Gentile,F,603,961-8799,NASHUA,NH,3060,M,N,45000,0.0,0,0,0
288,Rinie,Jonckers,M,401,910-7985,JOHNSTON,RI,2919,M,Y,35000,0.0,0,0,0
293,Xiannong,Pinzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,5.3,3575,0,0
296,Humphrey,Ramamoorthy,F,401,466-2957,CLAYVILLE,RI,2815,M,N,90000,0.0,0,0,0
301,Guenter,Sigal,M,401,707-8008,PROVIDENCE,RI,2908,S,N,10000,0.0,0,0,0
308,Ljiljana,Smeets,F,508,693-9220,AGAWAM,MA,1001,M,Y,45000,5.3,0,7150,1000
346,Nick,Gelosh,M,207,257-6382,SALSBURY COVE,ME,4672,S,Y,35000,8.5,2850,0,2850
353,Nitsan,Ertl,M,351,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000
