index,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
1,pengyuan,zendler,f,508,744-9007,swampscott,ma,1907,m,n,90000,5.3,0,7150,0
4,xiangning,vanneste,f,862,651-6469,brigantine,nj,8203,m,y,55000,1.9519792,0,2000,1500
11,nabuo,lugli,f,203,800-6915,southbury,ct,6488,s,n,90000,5.0,12750,0,0
19,howard,kageura,m,203,243-4810,stamford,ct,6913,s,n,80000,5.0,12750,0,0
25,chaisak,lageweg,m,302,577-3291,newark,de,19711,m,y,95000,5.95,0,220,110
34,heeju,liberman,m,802,101-6985,east wallingford,vt,5742,s,n,40000,3.800944,3300,0,0
40,surjatini,stellhorn,m,802,915-9500,waterbury,vt,5671,m,y,35000,3.7014668,0,6600,3300
43,avelino,english,m,401,795-3153,westerly,ri,2891,m,y,70000,0.0,0,0,0
46,yuyan,simao,m,603,350-5756,east derry,nh,3041,m,y,50000,0.0,0,0,0
47,toshiya,moshkow,m,609,858-3419,belleville,nj,7109,s,y,75000,2.267396,1000,0,1500
50,naomi,jolfaei,f,802,284-1040,barre,vt,5641,s,y,30000,3.6019895,3300,0,3300
53,rosana,prabhakar,m,716,742-9434,schenectady,ny,12308,s,n,20000,4.0695124,0,0,0
56,antoni,bober,f,860,822-3830,east woodstock,ct,6244,s,y,70000,5.0,12750,0,0
60,masadi,punnekkat,f,717,492-9196,north east,pa,16428,s,y,35000,3.07,0,0,0
61,tankoano,stumptner,m,203,717-2198,versailles,ct,6383,m,y,5000,3.0,0,24500,0
66,montgomery,odberg,m,802,390-6816,brownsville,vt,5037,s,n,60000,4.1988535,3300,0,0
67,peizong,cardazo,f,856,512-8410,toms river,nj,8755,m,n,45000,1.7942707999999998,0,2000,0
72,mirit,hanchek,f,603,995-2629,canaan,nh,3741,m,y,70000,0.0,0,0,0
78,gudala,earley,f,203,691-8996,oneco,ct,6373,m,n,55000,5.0,0,24500,0
83,hiromu,nobauer,m,401,119-4372,kingston,ri,2881,s,n,75000,0.0,0,0,0
91,dung,pike,f,774,133-6113,bridgewater,ma,2325,s,n,55000,5.3,3575,0,0
93,sonu,merhav,m,603,379-9505,glen,nh,3838,m,n,15000,0.0,0,0,0
98,juanita,sivarajan,f,603,966-6735,grafton,nh,3240,s,y,30000,0.0,0,0,0
101,uinam,hekken,f,339,769-6182,belmont,ma,2478,m,y,35000,5.3,0,7150,1000
103,baoquan,guha,f,339,730-7750,east walpole,ma,2032,s,y,40000,5.3,3575,0,1000
115,refael,hasida,f,939,677-3999,luquillo,pr,773,s,y,30000,0.0,0,0,0
