Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: beer_name, MSE: nan, Jaccard: 0.018916595012897663
Attribute: style, MSE: nan, Jaccard: 0.03883495145631066
Attribute: ounces, MSE: nan, Jaccard: 0.0
Attribute: abv, MSE: nan, Jaccard: 0.0
Attribute: ibu, MSE: nan, Jaccard: 0.0
Attribute: brewery_id, MSE: nan, Jaccard: 0.04569486397047973
Attribute: brewery_name, MSE: nan, Jaccard: 0.10819485866818335
Attribute: city, MSE: nan, Jaccard: 0.06676711470785879
Attribute: state, MSE: nan, Jaccard: 0.1467289172973485
加权混合距离: 0.019324422777867212
