tid,attribute,correct_val
0,index,1
0,fname,Pengyuan
0,lname,Zendler
0,gender,F
0,areacode,508
0,phone,744-9007
0,city,SWAMPSCOTT
0,state,MA
0,zip,1907
0,maritalstatus,M
0,haschild,N
0,salary,90000
0,rate,5.3
0,singleexemp,0
0,marriedexemp,7150
0,childexemp,0
1,index,4
1,fname,Xiangning
1,lname,Vanneste
1,gender,F
1,areacode,862
1,phone,651-6469
1,city,BRIGANTINE
1,state,NJ
1,zip,8203
1,maritalstatus,M
1,haschild,Y
1,salary,55000
1,rate,1.9519792
1,singleexemp,0
1,marriedexemp,2000
1,childexemp,1500
2,index,11
2,fname,Nabuo
2,lname,Lugli
2,gender,F
2,areacode,203
2,phone,800-6915
2,city,SOUTHBURY
2,state,CT
2,zip,6488
2,maritalstatus,S
2,haschild,N
2,salary,90000
2,rate,5.0
2,singleexemp,12750
2,marriedexemp,0
2,childexemp,0
3,index,19
3,fname,Howard
3,lname,Kageura
3,gender,M
3,areacode,203
3,phone,243-4810
3,city,STAMFORD
3,state,CT
3,zip,6913
3,maritalstatus,S
3,haschild,N
3,salary,80000
3,rate,5.0
3,singleexemp,12750
3,marriedexemp,0
3,childexemp,0
4,index,25
4,fname,Chaisak
4,lname,Lageweg
4,gender,M
4,areacode,302
4,phone,577-3291
4,city,NEWARK
4,state,DE
4,zip,19711
4,maritalstatus,M
4,haschild,Y
4,salary,95000
4,rate,5.95
4,singleexemp,0
4,marriedexemp,220
4,childexemp,110
5,index,34
5,fname,Heeju
5,lname,Liberman
5,gender,M
5,areacode,802
5,phone,101-6985
5,city,EAST WALLINGFORD
5,state,VT
5,zip,5742
5,maritalstatus,S
5,haschild,N
5,salary,40000
5,rate,3.800944
5,singleexemp,3300
5,marriedexemp,0
5,childexemp,0
6,index,40
6,fname,Surjatini
6,lname,Stellhorn
6,gender,M
6,areacode,802
6,phone,915-9500
6,city,WATERBURY
6,state,VT
6,zip,5671
6,maritalstatus,M
6,haschild,Y
6,salary,35000
6,rate,3.7014668
6,singleexemp,0
6,marriedexemp,6600
6,childexemp,3300
7,index,43
7,fname,Avelino
7,lname,English
7,gender,M
7,areacode,401
7,phone,795-3153
7,city,WESTERLY
7,state,RI
